step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769624831191,-0.287838044064373,-0.144068419233182,6.58117552167293e-08,-3.60067794859465e-08,-3.96635863799549e-08,0.014010320571325,0.00557275271227106,-0.00749044348029754
80,0.4,0.144051374121183,-0.288119903431572,-0.144068529310389,1.3159445098168e-07,-7.17246820005854e-08,-7.98851094378609e-08,0.0140094271565391,0.00557287866749369,-0.00749046478385165
120,0.6,0.144182545869913,-0.288251246577303,-0.144068700707389,1.97452849332121e-07,-1.07152877062041e-07,-1.20782611373431e-07,0.0140085464734458,0.00557301686483837,-0.00749047861105472
160,0.8,0.144408579742615,-0.288477006583481,-0.144068426840866,2.63392086649126e-07,-1.42266444536105e-07,-1.62420945900617e-07,0.0140076751590591,0.00557316642250528,-0.00749048445525519
200,1,0.144628143962496,-0.288696663578395,-0.144068519615899,3.29370910512065e-07,-1.77064691958799e-07,-2.04722639355731e-07,0.0140068142773697,0.00557332585404656,-0.00749048229930181
240,1.2,0.144798138778055,-0.288866653177388,-0.144068514399333,3.95431883229265e-07,-2.11623386442908e-07,-2.4774834747222e-07,0.0140059587257158,0.00557349848131974,-0.00749047154154941
280,1.4,0.144931480319297,-0.28899997741525,-0.144068497095953,4.61514301110496e-07,-2.45809926169847e-07,-2.91372263997082e-07,0.0140051171514701,0.00557368393044259,-0.00749045344175041
320,1.6,0.145089472597759,-0.28915801028366,-0.144068537685901,5.27808958574027e-07,-2.79705256176374e-07,-3.35685256670515e-07,0.0140042879150656,0.00557388121190912,-0.0074904278981987
360,1.8,0.14528595475799,-0.289354565768685,-0.144068611010695,5.94167826293608e-07,-3.13089279926153e-07,-3.80964940727466e-07,0.014003472595717,0.00557408618890124,-0.00749039216612503
400,2,0.145366470965297,-0.289435046202802,-0.144068575237505,6.60921601767066e-07,-3.46057012638445e-07,-4.2718369133035e-07,0.0140026711703121,0.00557430245156924,-0.00749034266694288
440,2.2,0.145586442702643,-0.289655101950232,-0.144068659247589,7.27810373455252e-07,-3.78669211950234e-07,-4.74156391117188e-07,0.0140018778786494,0.00557453126572428,-0.00749028475041574
480,2.4,0.145781679761362,-0.289850261014066,-0.144068581252704,7.94747832944068e-07,-4.1127874532773e-07,-5.21554979287207e-07,0.0140010946174955,0.00557476986873053,-0.00749021238436569
520,2.6,0.145657010993506,-0.289725610525848,-0.144068599532342,8.61812796675373e-07,-4.43684265362859e-07,-5.69568824310964e-07,0.0140003188611208,0.0055750179910894,-0.00749012882798492
560,2.8,0.145678330644357,-0.289746924794491,-0.144068594150134,9.28913587172441e-07,-4.755939015747e-07,-6.18459874864345e-07,0.0139995498651716,0.00557527540943886,-0.00749003913787695
600,3,0.1455707022085,-0.289639347537784,-0.144068645329283,9.9550932154284e-07,-5.07594646656718e-07,-6.69634109875817e-07,0.0139987914824963,0.00557552416861098,-0.00748993261118416
640,3.2,0.145638606258394,-0.289707248175287,-0.144068641916892,1.06190618413875e-06,-5.39880000087587e-07,-7.22648542302257e-07,0.0139980382478436,0.00557576837390738,-0.00748980530802687
680,3.4,0.145622181277751,-0.28969100962706,-0.144068828349309,1.12846629599995e-06,-5.71807901871967e-07,-7.76400886029201e-07,0.0139972930166253,0.00557602439461702,-0.00748967042654907
720,3.6,0.14540920950761,-0.289478037752373,-0.144068828244763,1.19518497212963e-06,-6.03286042995504e-07,-8.31017228068519e-07,0.0139965584325002,0.00557629177576478,-0.00748952833057476
760,3.8,0.145249703333963,-0.289318472224945,-0.144068768890981,1.26128661365893e-06,-6.34291617834868e-07,-8.86733816372133e-07,0.0139958257288471,0.00557656274683611,-0.00748938037128503
800,4,0.1450924703055,-0.289161208318794,-0.144068738013293,1.32601827397845e-06,-6.65034154318054e-07,-9.43278207100418e-07,0.0139950813669722,0.00557682809333409,-0.00748922680424244
