step,time,total,relDrift
0,0,-0.416233,0
25,0.5,-0.416156,0.000184645
50,1,-0.416039,0.000465497
75,1.5,-0.415876,0.000858501
100,2,-0.415502,0.00175594
125,2.5,-0.415104,0.00271156
150,3,-0.415088,0.00275137
175,3.5,-0.415109,0.00269962
200,4,-0.415025,0.0029028
225,4.5,-0.414853,0.00331622
250,5,-0.414521,0.00411238
275,5.5,-0.414259,0.00474171
300,6,-0.413526,0.00650358
325,6.5,-0.413756,0.00595119
350,7,-0.413658,0.00618757
375,7.5,-0.413326,0.00698489
400,8,-0.412659,0.00858631
425,8.5,-0.412685,0.00852469
450,9,-0.412393,0.00922519
475,9.5,-0.412084,0.00996859
500,10,-0.411801,0.0106486
525,10.5,-0.411461,0.011465
550,11,-0.410894,0.0128273
575,11.5,-0.410839,0.0129588
600,12,-0.410639,0.013439
625,12.5,-0.410075,0.0147956
650,13,-0.409894,0.0152306
675,13.5,-0.409643,0.015832
700,14,-0.408564,0.0184239
725,14.5,-0.40903,0.0173045
750,15,-0.409482,0.0162186
775,15.5,-0.410352,0.0141285
800,16,-0.410492,0.0137921
825,16.5,-0.410735,0.0132089
850,17,-0.410285,0.0142892
875,17.5,-0.410257,0.0143575
900,18,-0.41015,0.0146158
925,18.5,-0.410129,0.0146646
950,19,-0.409912,0.0151866
975,19.5,-0.409994,0.0149904
1000,20,-0.409871,0.0152838
1025,20.5,-0.409912,0.0151874
1050,21,-0.409145,0.0170295
1075,21.5,-0.408744,0.0179936
1100,22,-0.40535,0.0261469
1125,22.5,-0.408721,0.0180489
1150,23,-0.40979,0.0154796
1175,23.5,-0.407909,0.0199995
1200,24,-0.40873,0.0180259
1225,24.5,-0.408758,0.017959
1250,25,-0.408651,0.0182172
1275,25.5,-0.408286,0.019092
1300,26,-0.408287,0.0190903
1325,26.5,-0.407865,0.0201038
1350,27,-0.408076,0.0195969
1375,27.5,-0.408113,0.019508
1400,28,-0.40756,0.0208363
1425,28.5,-0.407331,0.0213873
1450,29,-0.40729,0.0214853
1475,29.5,-0.407163,0.0217914
1500,30,-0.407219,0.0216564
1525,30.5,-0.40743,0.0211501
1550,31,-0.406694,0.0229171
1575,31.5,-0.407025,0.0221214
1600,32,-0.406663,0.0229914
1625,32.5,-0.406772,0.0227296
1650,33,-0.406835,0.0225785
1675,33.5,-0.406735,0.0228192
1700,34,-0.40643,0.0235512
1725,34.5,-0.406568,0.0232196
1750,35,-0.406699,0.0229067
1775,35.5,-0.406768,0.0227409
1800,36,-0.406465,0.0234674
1825,36.5,-0.406523,0.0233277
1850,37,-0.406747,0.0227901
1875,37.5,-0.406501,0.0233806
1900,38,-0.406123,0.0242897
1925,38.5,-0.406744,0.0227979
1950,39,-0.406304,0.0238546
1975,39.5,-0.406194,0.02412
2000,40,-0.406409,0.0236016
2025,40.5,-0.406488,0.0234123
2050,41,-0.406026,0.0245228
2075,41.5,-0.406059,0.0244423
2100,42,-0.405721,0.025256
2125,42.5,-0.405738,0.0252138
2150,43,-0.405919,0.0247808
2175,43.5,-0.405316,0.0262277
2200,44,-0.405938,0.0247336
2225,44.5,-0.405657,0.0254085
2250,45,-0.405505,0.0257736
2275,45.5,-0.405368,0.0261037
2300,46,-0.405368,0.0261022
2325,46.5,-0.405324,0.0262101
2350,47,-0.405388,0.0260553
2375,47.5,-0.40523,0.0264361
2400,48,-0.404863,0.0273155
2425,48.5,-0.404838,0.0273772
2450,49,-0.404649,0.0278307
2475,49.5,-0.404304,0.0286607
2500,50,-0.404729,0.0276385
